Date,Fatalities
01/01/2009,2
01/04/2009,8
01/15/2009,13
01/15/2009,0
02/07/2009,24
02/12/2009,49
02/15/2009,13
02/20/2009,5
02/25/2009,9
03/09/2009,11
03/12/2009,17
03/22/2009,14
03/23/2009,2
04/01/2009,16
04/06/2009,24
04/09/2009,6
04/29/2009,7
05/03/2009,18
05/20/2009,112
05/26/2009,4
06/01/2009,228
06/07/2009,1
06/08/2009,13
06/29/2009,3
06/30/2009,152
07/03/2009,26
07/15/2009,168
07/19/2009,16
07/24/2009,16
08/02/2009,16
08/04/2009,1
08/08/2009,9
08/11/2009,13
08/26/2009,7
09/08/2009,10
09/24/2009,1
09/25/2009,3
10/17/2009,4
10/21/2009,6
10/22/2009,1
11/01/2009,11
11/01/2009,11
11/12/2009,1
11/14/2009,3
11/28/2009,3
11/29/2009,6
01/22/2010,2
01/25/2010,90
01/25/2010,2
01/28/2010,8
02/14/2010,11
04/10/2010,96
04/10/2010,10
04/13/2010,5
04/21/2010,3
05/12/2010,103
05/15/2010,8
05/17/2010,44
05/22/2010,159
06/19/2010,11
06/23/2010,7
07/05/2010,12
07/28/2010,152
07/28/2010,4
08/01/2010,3
08/03/2010,12
08/09/2010,5
08/16/2010,2
08/21/2010,4
08/24/2010,14
08/24/2010,44
08/25/2010,19
08/27/2010,10
09/03/2010,2
09/04/2010,9
09/13/2010,17
09/21/2010,10
10/06/2010,28
10/12/2010,8
10/21/2010,2
11/04/2010,68
11/05/2010,21
11/25/2010,7
11/28/2010,8
12/04/2010,2
12/15/2010,22
01/01/2011,3
01/09/2011,77
02/08/2011,9
02/10/2011,6
02/14/2011,14
03/21/2011,9
04/04/2011,32
04/19/2011,18
04/21/2011,7
05/07/2011,27
05/18/2011,22
06/20/2011,47
07/06/2011,9
07/08/2011,77
07/11/2011,7
07/13/2011,16
07/26/2011,80
07/28/2011,2
08/06/2011,38
08/09/2011,11
08/20/2011,12
08/26/2011,4
09/02/2011,21
09/06/2011,8
09/07/2011,44
09/14/2011,30
09/16/2011,1
09/22/2011,2
09/25/2011,19
09/29/2011,18
10/13/2011,28
10/27/2011,1
11/10/2011,5
11/11/2011,8
12/07/2011,5
12/26/2011,3
01/30/2012,3
03/15/2012,2
03/16/2012,12
04/02/2012,33
04/20/2012,127
04/30/2012,13
05/09/2012,45
05/14/2012,15
06/02/2012,0
06/03/2012,153
06/06/2012,14
06/11/2012,13
06/21/2012,7
08/18/2012,3
08/19/2012,32
09/12/2012,10
09/28/2012,19
10/07/2012,15
10/07/2012,3
11/21/2012,10
11/30/2012,7
12/05/2012,11
12/09/2012,7
12/25/2012,27
12/25/2012,1
12/29/2012,5
01/02/2013,3
01/04/2013,6
01/29/2013,21
02/13/2013,5
03/04/2013,7
03/08/2013,2
04/13/2013,0
04/29/2013,7
05/31/2013,4
06/25/2013,20
07/06/2013,3
07/07/2013,10
08/09/2013,4
08/14/2013,2
10/03/2013,16
10/10/2013,2
10/16/2013,49
11/03/2013,8
11/09/2013,13
11/10/2013,5
11/17/2013,50
11/29/2013,3
11/29/2013,33
12/05/2013,5
12/26/2013,9
01/20/2014,2
02/11/2014,76
02/16/2014,18
02/21/2014,11
03/08/2014,239
03/18/2014,2
04/19/2014,8
04/20/2014,8
05/08/2014,6
05/17/2014,16
06/14/2014,49
07/02/2014,4
07/07/2014,18
07/17/2014,298
07/23/2014,48
07/24/2014,116
08/10/2014,39
08/30/2014,7
08/31/2014,3
09/20/2014,4
10/04/2014,2
12/28/2014,6
12/28/2014,162
01/18/2015,37
02/04/2015,43
03/10/2015,10
03/24/2015,150
06/25/2015,9
06/30/2015,122
07/31/2015,11
08/12/2015,1
08/16/2015,54
09/05/2015,7
09/15/2015,3
10/02/2015,11
10/02/2015,10
10/31/2015,4
10/31/2015,224
11/04/2015,41
11/21/2015,7
11/24/2015,15
01/08/2016,2
02/02/2016,1
02/24/2016,23
02/26/2016,2
03/09/2016,3
03/15/2016,22
03/19/2016,62
03/29/2016,7
04/04/2016,5
04/13/2016,12
04/29/2016,13
05/19/2016,66
07/22/2016,29
07/30/2016,16
08/05/2016,0
08/31/2016,5
10/24/2016,5
11/28/2016,71
12/03/2016,13
12/07/2016,48
12/18/2016,13
12/20/2016,5
12/25/2016,92
01/16/2017,4
02/21/2017,5
03/10/2017,7
03/27/2017,6
05/05/2017,2
05/27/2017,2
06/07/2017,122
06/28/2017,3
07/10/2017,16
09/30/2017,8
10/12/2017,7
10/14/2017,4
11/15/2017,11
12/13/2017,1
12/31/2017,12
01/29/2018,12
02/10/2018,3
02/11/2018,71
02/18/2018,66
03/06/2018,39
03/11/2018,5
03/12/2018,51
04/11/2018,257
04/17/2018,1
05/02/2018,9
05/18/2018,112
07/10/2018,1
08/04/2018,20
09/28/2018,1
10/29/2018,189
11/06/2018,1
01/14/2019,15
02/23/2019,3
03/09/2019,14
03/10/2019,157
04/16/2019,6
05/05/2019,13
05/05/2019,41
06/03/2019,13
07/30/2019,5
