Team,WorldSeriesWon,LastSeasonWins,PrimaryColor
ARI,1,52,#A71930
ATL,4,88,#CE1141
BAL,3,52,#DF4601
BOS,9,92,#BD3039
CHC,3,71,#0E3386
CWS,3,93,#27251F
CIN,5,83,#C6011F
CLE,2,80,#0C2340
COL,0,74,#33006F
DET,4,77,#0C2340
HOU,1,95,#002D62
KAN,2,74,#004687
LAA,1,77,#BA0021
LAD,7,106,#005A9C
MIA,2,67,#00A3E0
MIL,0,95,#12284B
MIN,3,73,#002B5C
NYM,2,77,#002D72
NYY,27,92,#0C2340
OAK,9,86,#003831
PHI,2,82,#E81828
PIT,5,61,#27251F
SD,0,79,#2F241D
SF,8,107,#FD5A1E
SEA,0,90,#0C2C56
STL,11,90,#C41E3A
TB,0,100,#092C5C
TEX,0,60,#003278
TOR,2,91,#134A8E
WAS,1,65,#AB0003
