Region,staseis
Ionia,48
Lesbos,45
Sikelia,43
Aegean,37
Boiotia,22
"Megaris, Korinthia, Sikyonia",22
Euboia,19
Argolis,17
Arkadia,17
Akarnania & Ajacent,17
Italia & Kampania,17
Thrace: Axios - Strymon,14
Rhodos,12
Thessaly & Adjacent,10
Propontic Thrace,9
Black Sea,8
Elis,7
Syria to Pillars of Herakles,7
Attika,5
Karia,5
Propontic Asia Minor ,5
Phokis,4
Adriatic,2
Lakedaimon,2
Pamphylia & Kilikia,2
Saronic Gulf,2
Thrace: Nestos - Hebros,2
Troas,2
West Lokris,2
Achaia,1
Aiolis & SW Mysia,1
Crete,1
Cyprus,1
Makedonia,1
Spain & France,1
Thrace: Strymon - Nestos,1
Aitolia,0
East Locris,0
Epeiros,0
Doris,0
Lykia,0
Messenia,0
Thracian Chersonesos,0
Triphylia,0
Thrace: Inland ,0

